volume_id,comparator,label,family,delta_top_risk_auprc,mae_reduction,delta_spearman
file_brain_AXT2_203_2030256,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.23656353704381783,0.21189940433979418,0.042395620488648755
file_brain_AXT2_203_2030354,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.17099937644139385,0.220017594606153,0.05535260544750775
file_brain_AXT2_205_6000022,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.15065246987118264,0.22257870612067518,0.11798371454412271
file_brain_AXT2_207_2070039,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.5008473327259289,0.28166377789335495,0.07343710917284185
file_brain_AXT2_207_2070054,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.327731436186388,0.22479495847836578,0.06619327801361341
file_brain_AXT2_207_2070194,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.27768982921957797,0.255666599804413,0.0670713816409918
file_brain_AXT2_207_2070208,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.26043291312338945,0.25522008328735546,0.12568701381878622
file_brain_AXT2_207_2070280,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24554299197972118,0.24950496951458118,0.10110354470471872
file_brain_AXT2_207_2070352,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2344259104255031,0.3106361513147834,0.12414707271577585
file_brain_AXT2_207_2070417,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.30970280754295854,0.4252604550548618,0.1331819949477917
file_brain_AXT2_207_2070770,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2149646293336488,0.2421113784869619,0.07283224923473197
file_brain_AXT2_207_2070777,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.3442467709062559,0.3143431011633462,0.06513849209782419
file_brain_AXT2_207_2070822,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.31746583345241947,0.42663575425628336,0.06242069038110143
file_brain_AXT2_208_2080013,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2540578090705262,0.2651865468425123,0.08419925511993342
file_brain_AXT2_208_2080126,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.201973926271112,0.31207255854780325,0.040779676663899256
file_brain_AXT2_208_2080585,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24077044904838507,0.2574220576203413,0.13131503190828697
file_brain_AXT2_208_2080611,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.44157761915404453,0.2972054256773302,0.06189079871469583
file_brain_AXT2_209_6001384,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24743315805147204,0.2287404329606031,0.0935082198275683
file_brain_AXT2_209_6001459,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.1687223651830373,0.22740324557652658,0.07465390747197853
file_brain_AXT2_210_2100135,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.20316129151560636,0.2276764908235276,0.0938965966273565
file_brain_AXT2_210_2100276,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.36107541753886996,0.2887260702912474,0.06198871476198653
file_brain_AXT2_210_2100288,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.3784001079626988,0.3202200100228708,0.051457066537226814
file_brain_AXT2_210_2100306,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2134616236209742,0.2384957293845043,0.05725330795438566
file_brain_AXT2_210_2100368,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.13565017722536388,0.2166339542346628,0.023275634166412207
file_brain_AXT2_210_6001524,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2658870069763316,0.21954317332480472,0.0598543158420084
file_brain_AXT2_210_6001651,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24652754723839954,0.20193544363229987,0.04736699901574204
file_brain_AXT2_210_6001906,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.18272696538614075,0.2284769944219801,0.06386104246060342
file_brain_AXT2_210_6001941,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.3722002151051734,0.2906589387956834,0.04773005019089316
file_brain_AXT2_200_2000080,image_gradient,"Image
gradient",deterministic,0.1841386415375741,0.3000389865627589,0.1713552742922585
file_brain_AXT2_200_2000175,image_gradient,"Image
gradient",deterministic,0.15690912107428234,0.33937652523530315,0.16682930569323096
